# Origin	Destination	menuOption menuTarget objectID	Quests	Duration	Display info
	2465 3501 3		The Grand Tree	4	Ta Quir Priw
	2550 2970 0		The Grand Tree;One Small Favour	4	Lemantolly Undri
	2711 2803 0		The Grand Tree;Monkey Madness II	4	Ookookolly Undri
	2850 3498 0		The Grand Tree	4	Sindarpos
	2971 2968 0		The Grand Tree	4	Gandius
	3284 3210 0		The Grand Tree	4	Kar-Hewo
	3321 3429 0		The Grand Tree	4	Lemanto Andra
2465 3501 3		Glider Captain Errdo 10467	The Grand Tree		
2544 2972 0		Glider Gnormadium Avlafrim 7517	The Grand Tree;One Small Favour		
2544 2974 0		Glider Gnormadium Avlafrim 7517	The Grand Tree;One Small Favour		
2545 2973 0		Glider Gnormadium Avlafrim 7517	The Grand Tree;One Small Favour		
2710 2802 0		Glider Captain Shoracks 7178	The Grand Tree;Monkey Madness II		
2711 2801 0		Glider Captain Shoracks 7178	The Grand Tree;Monkey Madness II		
2711 2803 0		Glider Captain Shoracks 7178	The Grand Tree;Monkey Madness II		
2846 3499 0		Glider Captain Bleemadge 10459	The Grand Tree		
2847 3498 0		Glider Captain Bleemadge 10459	The Grand Tree		
2969 2973 0		Glider Captain Klemfoodle 10479	The Grand Tree		
2970 2972 0		Glider Captain Klemfoodle 10479	The Grand Tree		
2970 2974 0		Glider Captain Klemfoodle 10479	The Grand Tree		
3284 3211 0		Glider Captain Dalbur 10452	The Grand Tree		
3284 3213 0		Glider Captain Dalbur 10452	The Grand Tree		
3285 3212 0		Glider Captain Dalbur 10452	The Grand Tree		
