# Origin	Destination	menuOption menuTarget objectID	Skills	Items	Quests	Varbits	Duration	Display info
	1218 3737 0					7796<11	5	2: Farming Guild
	1218 3737 0					7796=11	5	2: Farming Guild
	1255 3548 0					7796<11	5	8: Mount Quidamortem
	1255 3548 0					7796=11	5	8: Mount Quidamortem
	1415 3577 0					7796<11	5	C: Shayzien West
	1415 3577 0					7796=11	5	C: Shayzien West
	1518 3733 0					7796<11	5	7: Lovakengj
	1518 3733 0					7796=11	5	7: Lovakengj
	1572 3466 0					7796<11	5	6: Kourend Woodland
	1572 3466 0					7796=11	5	6: Kourend Woodland
	1590 3620 0					7796<11	5	B: Shayzien East
	1590 3620 0					7796=11	5	B: Shayzien East
	1648 3931 0					7796<11	5	9: Northern Tundras
	1648 3931 0					7796=11	5	9: Northern Tundras
	1655 3543 0					7796<11	5	4: Hosidius West
	1655 3543 0					7796=11	5	4: Hosidius West
	1670 3833 0					7796<11	5	1: Arceuus
	1670 3833 0					7796=11	5	1: Arceuus
	1699 3660 0					7796<11	5	5: Kingstown
	1699 3660 0					7796=11	5	5: Kingstown
	1761 3710 0					7796<11	5	A: Port Piscarilius
	1761 3710 0					7796=11	5	A: Port Piscarilius
	1808 3479 0					7796<11	5	3: Hosidius South
	1808 3479 0					7796=11	5	3: Hosidius South
1218 3737 0		Travel Minecart 28835				7796=11		
1218 3737 0		Travel Minecart 28835		COINS=20		7796<11		
1218 3739 0		Travel Minecart 28835				7796=11		
1218 3739 0		Travel Minecart 28835		COINS=20		7796<11		
1253 3548 0		Travel Minecart 28835				7796=11		
1253 3548 0		Travel Minecart 28835		COINS=20		7796<11		
1255 3548 0		Travel Minecart 28835				7796=11		
1255 3548 0		Travel Minecart 28835		COINS=20		7796<11		
1413 3577 0		Travel Minecart 28835				7796=11		
1413 3577 0		Travel Minecart 28835		COINS=20		7796<11		
1415 3577 0		Travel Minecart 28835				7796=11		
1415 3577 0		Travel Minecart 28835		COINS=20		7796<11		
1518 3731 0		Travel Minecart 28835				7796=11		
1518 3731 0		Travel Minecart 28835		COINS=20		7796<11		
1518 3733 0		Travel Minecart 28835				7796=11		
1518 3733 0		Travel Minecart 28835		COINS=20		7796<11		
1572 3466 0		Travel Minecart 28835				7796=11		
1572 3466 0		Travel Minecart 28835		COINS=20		7796<11		
1590 3620 0		Travel Minecart 28835				7796=11		
1590 3620 0		Travel Minecart 28835		COINS=20		7796<11		
1590 3622 0		Travel Minecart 28835				7796=11		
1590 3622 0		Travel Minecart 28835		COINS=20		7796<11		
1648 3931 0		Travel Minecart 28835				7796=11		
1648 3931 0		Travel Minecart 28835		COINS=20		7796<11		
1655 3541 0		Travel Minecart 28835				7796=11		
1655 3541 0		Travel Minecart 28835		COINS=20		7796<11		
1655 3543 0		Travel Minecart 28835				7796=11		
1655 3543 0		Travel Minecart 28835		COINS=20		7796<11		
1670 3832 0		Travel Minecart 28835				7796=11		
1670 3832 0		Travel Minecart 28835		COINS=20		7796<11		
1697 3660 0		Travel Minecart 28835				7796=11		
1697 3660 0		Travel Minecart 28835		COINS=20		7796<11		
1699 3660 0		Travel Minecart 28835				7796=11		
1699 3660 0		Travel Minecart 28835		COINS=20		7796<11		
1759 3710 0		Travel Minecart 28835				7796=11		
1759 3710 0		Travel Minecart 28835		COINS=20		7796<11		
1761 3710 0		Travel Minecart 28835				7796=11		
1761 3710 0		Travel Minecart 28835		COINS=20		7796<11		
1808 3479 0		Travel Minecart 28835				7796=11		
1808 3479 0		Travel Minecart 28835		COINS=20		7796<11		
1808 3481 0		Travel Minecart 28835				7796=11		
1808 3481 0		Travel Minecart 28835		COINS=20		7796<11		
2874 9868 0	2909 10174 0	Ride Train cart 7030		COINS=100	The Giant Dwarf;Fishing Contest			
2876 9868 0	2909 10174 0	Ride Train cart 7030		COINS=100	The Giant Dwarf;Fishing Contest			
2919 10168 0	2876 9868 0	Ride Train cart 7028		COINS=100	The Giant Dwarf;Fishing Contest			
2919 10170 0	2876 9868 0	Ride Train cart 7028		COINS=100	The Giant Dwarf;Fishing Contest			
2923 10170 0	3141 3504 0	Ride Train cart 7028			The Giant Dwarf			
2923 10172 0	3141 3504 0	Ride Train cart 7028			The Giant Dwarf			
2923 10174 0	2995 9835 0	Ride Train cart 7028		COINS=150	The Giant Dwarf			
2923 10176 0	2995 9835 0	Ride Train cart 7028		COINS=150	The Giant Dwarf			
2995 9835 0	2909 10174 0	Ride Train cart 7029		COINS=150	The Giant Dwarf			
2995 9837 0	2909 10174 0	Ride Train cart 7029		COINS=150	The Giant Dwarf			
3139 3504 0	2909 10174 0	Travel Trapdoor 16168			The Giant Dwarf		21	
3140 3503 0	2909 10174 0	Travel Trapdoor 16168			The Giant Dwarf		21	
3140 3505 0	2909 10174 0	Travel Trapdoor 16168			The Giant Dwarf		21	
3141 3504 0	2909 10174 0	Travel Trapdoor 16168			The Giant Dwarf		21	
