# Origin	Destination	menuOption menuTarget objectID	Skills	Items	Quests	Duration	Display info
1443 2977 0	1494 2985 0	Travel Antonia 13985		COINS=20		4	Sunset Coast
1494 2985 0	1443 2977 0	Travel Antonia 13984		COINS=20		4	Aldarin
1504 3399 0	1824 3691 0	Port Piscarilius Captain Magoro 7471				6	Port Piscarilius
1504 3399 0	3055 3245 0	Port Sarim Captain Magoro 7471				6	Port Sarim
1824 3691 0	1504 3399 0	Land's End Veos 10726				6	Land's End
1824 3691 0	3055 3245 0	Port Sarim Veos 10726				6	Port Sarim
2138 3899 2	2222 3796 2	Travel Captain Bentley 6650				12	
2222 3796 2	2138 3899 2	Travel Captain Bentley 6650				12	
2578 2840 0	2909 3226 0	Travel Cabin Boy Colin 7967			The Corsair Curse	6	
2581 3847 0	2629 3693 0	Rellekka Sailor 3680			The Fremennik Trials	7	
2629 3693 0	2581 3847 0	Miscellania Sailor 3936			The Fremennik Trials	7	
2659 2676 0	3041 3202 0	Travel Squire 1769				11	
2683 3271 0	2772 3234 0	Brimhaven Captain Barnaby 9250		COINS=30		6	Brimhaven
2683 3271 0	2915 3225 0	Rimmington Captain Barnaby 9250		COINS=30		6	Rimmington
2763 2960 1	2680 3150 0	Talk-to Captain Shanks 5364		COINS=50		10	
2763 2960 1	3047 3235 0	Talk-to Captain Shanks 5364		COINS=50		10	
2763 2960 1	3050 3192 0	Talk-to Captain Shanks 5364		COINS=50		10	
2772 3234 0	2683 3271 0	Ardougne Captain Barnaby 8764		COINS=30		6	Ardougne
2772 3234 0	2915 3225 0	Rimmington Captain Barnaby 8764		COINS=30		6	Rimmington
2834 3335 0	3048 3231 1	Travel-boat Monk of Entrana 1168				15	
2909 3226 0	2578 2840 0	Travel Cabin Boy Colin 7967			The Corsair Curse	6	
2915 3225 0	2683 3271 0	Ardougne Captain Barnaby 8763		COINS=30		6	Ardougne
2915 3225 0	2772 3234 0	Brimhaven Captain Barnaby 8763		COINS=30		6	Brimhaven
2956 3146 0	3029 3217 0	Port Sarim Customs officer 14985		COINS=30		10	Port Sarim
2956 3146 0	3064 3003 0	The Pandemonium Customs officer 14985		COINS=30	Pandemonium	10	Pandemonium
3029 3217 0	2956 3146 0	Musa Point Captain Tobias 14979		COINS=30		10	Musa Point
3029 3217 0	3064 3003 0	The Pandemonium Captain Tobias 14979		COINS=30	Pandemonium	10	Pandemonium
3041 3202 0	2659 2676 0	Travel Squire 1770				11	
3048 3234 0	2834 3331 1	Travel-boat Monk of Entrana 1165				15	
3055 3245 0	1504 3399 0	Land's End Veos 8630				6	Land's End
3055 3245 0	1824 3691 0	Port Piscarilius Veos 8630				6	Port Piscarilius
3064 3003 0	2956 3146 0	Musa Point Seaman Morris 8631		COINS=30	Pandemonium	10	Musa Point
3064 3003 0	3029 3217 0	Port Sarim Seaman Morris 8631		COINS=30	Pandemonium	10	Port Sarim
3362 3445 0	3724 3807 0	Quick-Travel Barge guard 8012			Bone Voyage	12	
3684 2953 0	3709 3496 0	Travel Bill Teach 4016			Cabin Fever	6	
3709 3496 0	3684 2953 0	Travel Bill Teach 4016			Cabin Fever	6	
3724 3807 0	3362 3445 0	Travel Rowboat 30914			Bone Voyage	12	
