# Destination	Items	Skills	Quests	Duration	Display info	Wilderness level	Varbits	VarPlayers
1347 3740 0	EARTH_RUNE=1&&FIRE_RUNE=1&&LAW_RUNE=1	23 Magic		4	Battlefront Teleport	20	4070=3	
1422 2963 0	AIR_RUNE=1&&EARTH_RUNE=1&&LAW_RUNE=1	40 Magic		4	Teleport to House	20	4070=0;2187=9;4744=1	
1422 2963 0	AIR_RUNE=1&&EARTH_RUNE=1&&LAW_RUNE=1	40 Magic		4	Teleport to House (Outside)	20	4070=0;2187=9;4744=0	
1632 3837 0	EARTH_RUNE=2&&LAW_RUNE=1	6 Magic		4	Arceuus Library Teleport	20	4070=3	
1641 3673 0	FIRE_RUNE=1&&WATER_RUNE=1&&LAW_RUNE=2	48 Magic	Client of Kourend	4	Kourend Castle Teleport	20	4070=0	
1681 3136 0	EARTH_RUNE=1&&FIRE_RUNE=1&&LAW_RUNE=2	54 Magic	Twilight's Promise	4	Civitas illa Fortis Teleport	20	4070=0	
1743 3517 0	AIR_RUNE=1&&EARTH_RUNE=1&&LAW_RUNE=1	40 Magic		4	Teleport to House	20	4070=0;2187=8;4744=1	
1743 3517 0	AIR_RUNE=1&&EARTH_RUNE=1&&LAW_RUNE=1	40 Magic		4	Teleport to House (Outside)	20	4070=0;2187=8;4744=0	
1923 5709 0	AIR_RUNE=1&&EARTH_RUNE=1&&LAW_RUNE=1	40 Magic		4	Teleport to House	20	4070=0;4744=0	
1923 5709 0	AIR_RUNE=1&&EARTH_RUNE=1&&LAW_RUNE=1	40 Magic		4	Teleport to House (Inside)	20	4070=0;4744=0;4744=1	
2113 3915 0	EARTH_RUNE=2&&ASTRAL_RUNE=2&&LAW_RUNE=1	69 Magic	Lunar Diplomacy	4	Moonclan Teleport	20	4070=2	
2468 3246 0	EARTH_RUNE=6&&ASTRAL_RUNE=2&&LAW_RUNE=1	71 Magic	Lunar Diplomacy	4	Ourania Teleport	20	4070=2	
2500 3290 0	LAW_RUNE=2&&SOUL_RUNE=2	61 Magic	Biohazard	4	West Ardougne Teleport	20	4070=3	
2543 3569 0	FIRE_RUNE=3&&ASTRAL_RUNE=2&&LAW_RUNE=2	75 Magic	Lunar Diplomacy	4	Barbarian Teleport	20	4070=2	
2544 3096 0	AIR_RUNE=1&&EARTH_RUNE=1&&LAW_RUNE=1	40 Magic		4	Teleport to House	20	4070=0;2187=6;4744=1	
2544 3096 0	AIR_RUNE=1&&EARTH_RUNE=1&&LAW_RUNE=1	40 Magic		4	Teleport to House (Outside)	20	4070=0;2187=6;4744=0	
2546 3112 0	EARTH_RUNE=2&&LAW_RUNE=2	58 Magic	Watchtower	4	Watchtower Teleport	20	4070=0	212=14
2546 3755 0	WATER_RUNE=1&&ASTRAL_RUNE=2&&LAW_RUNE=1	72 Magic	Lunar Diplomacy	4	Waterbirth Teleport	20	4070=2	
2584 3097 0	EARTH_RUNE=2&&LAW_RUNE=2	58 Magic	Watchtower	4	Watchtower Teleport: Yanille	20	4070=0;4460=1	212=14
2613 3391 0	WATER_RUNE=10&&ASTRAL_RUNE=3&&LAW_RUNE=3	85 Magic	Lunar Diplomacy	4	Fishing Guild Teleport	20	4070=2	
2636 3167 0	WATER_RUNE=4&&ASTRAL_RUNE=2&&LAW_RUNE=2	78 Magic	Lunar Diplomacy	4	Khazard Teleport	20	4070=2	
2662 3305 0	WATER_RUNE=2&&LAW_RUNE=2	51 Magic	Plague City	4	Ardougne Teleport	20	4070=0	165=30
2670 3631 0	AIR_RUNE=1&&EARTH_RUNE=1&&LAW_RUNE=1	40 Magic		4	Teleport to House	20	4070=0;2187=4;4744=1	
2670 3631 0	AIR_RUNE=1&&EARTH_RUNE=1&&LAW_RUNE=1	40 Magic		4	Teleport to House (Outside)	20	4070=0;2187=4;4744=0	
2726 3487 0	AIR_RUNE=5&&LAW_RUNE=1	45 Magic		4	Camelot Teleport: Seers'	20	4070=0;4477=1	
2757 3178 0	AIR_RUNE=1&&EARTH_RUNE=1&&LAW_RUNE=1	40 Magic		4	Teleport to House	20	4070=0;2187=5;4744=1	
2757 3178 0	AIR_RUNE=1&&EARTH_RUNE=1&&LAW_RUNE=1	40 Magic		4	Teleport to House (Outside)	20	4070=0;2187=5;4744=0	
2757 3479 0	AIR_RUNE=5&&LAW_RUNE=1	45 Magic		4	Camelot Teleport	20	4070=0	
2771 9102 0	BLOOD_RUNE=2&&LAW_RUNE=2&&SOUL_RUNE=2	90 Magic	Monkey Madness I	4	Ape Atoll Teleport	20	4070=3	
2797 2798 1	FIRE_RUNE=2&&WATER_RUNE=2&&LAW_RUNE=2&&BANANA=1	64 Magic	Freeing King Awowogei	4	Ape Atoll Teleport	20	4070=0	
2801 3449 0	WATER_RUNE=10&&ASTRAL_RUNE=3&&LAW_RUNE=3	87 Magic	Lunar Diplomacy	4	Catherby Teleport	20	4070=2	
2890 3679 0	FIRE_RUNE=2&&LAW_RUNE=2	61 Magic	Eadgar's Ruse	4	Trollheim Teleport	20	4070=0	
2893 3465 0	AIR_RUNE=1&&EARTH_RUNE=1&&LAW_RUNE=1	40 Magic		4	Teleport to House	20	4070=0;2187=2;4744=1	
2893 3465 0	AIR_RUNE=1&&EARTH_RUNE=1&&LAW_RUNE=1	40 Magic		4	Teleport to House (Outside)	20	4070=0;2187=2;4744=0	
2953 3224 0	AIR_RUNE=1&&EARTH_RUNE=1&&LAW_RUNE=1	40 Magic		4	Teleport to House	20	4070=0;2187=1;4744=1	
2953 3224 0	AIR_RUNE=1&&EARTH_RUNE=1&&LAW_RUNE=1	40 Magic		4	Teleport to House (Outside)	20	4070=0;2187=1;4744=0	
2964 3378 0	AIR_RUNE=3&&WATER_RUNE=1&&LAW_RUNE=1	37 Magic		4	Falador Teleport	20	4070=0	
2968 3696 0	AIR_RUNE=2&&FIRE_RUNE=3&&LAW_RUNE=2	78 Magic	Desert Treasure I	5	Dareeyak Teleport	20	4070=1	
2975 3938 0	WATER_RUNE=8&&ASTRAL_RUNE=3&&LAW_RUNE=3	89 Magic	Lunar Diplomacy	4	Ice Plateau Teleport	20	4070=2	
2976 3875 0	LAW_RUNE=2&&WATER_RUNE=8	96 Magic	Desert Treasure I	5	Ghorrock Teleport	20	4070=1	
2979 3510 0	LAW_RUNE=1&&MIND_RUNE=2	28 Magic		4	Mind Altar Teleport	20	4070=3	
2981 3762 0	BLOOD_RUNE=1&&LAW_RUNE=1&&SOUL_RUNE=1	71 Magic		4	Cemetery Teleport	20	4070=3	
3004 3470 0	LAW_RUNE=2&&WATER_RUNE=4	72 Magic	Desert Treasure I	5	Lassar Teleport	20	4070=1	
