# Category	Match interaction	Origin	Destination	menuOption menuTarget objectID	Currency	Skills	Items	Quests	Varbits	VarPlayers	Duration	Display info	Consumable	Wilderness level	isMembers	Operation	Reason
transports.tsv		2461 3385 0	2461 3382 0	Open Gate 190							9					PATCH	Tree Gnome Stronghold gate animation and forced walk exceed the default 5 second landing wait.
transports.tsv		2461 3382 0	2461 3385 0	Open Gate 190							9					PATCH	Tree Gnome Stronghold gate animation and forced walk exceed the default 5 second landing wait.
transports.tsv		2462 3385 0	2461 3382 0	Open Gate 190							9					PATCH	Tree Gnome Stronghold gate animation and forced walk exceed the default 5 second landing wait.
transports.tsv		2460 3382 0	2461 3385 0	Open Gate 190							9					PATCH	Tree Gnome Stronghold gate animation and forced walk exceed the default 5 second landing wait.
transports.tsv		2460 3385 0	2461 3382 0	Open Gate 190							9					PATCH	Tree Gnome Stronghold gate animation and forced walk exceed the default 5 second landing wait.
transports.tsv		2462 3382 0	2461 3385 0	Open Gate 190							9					PATCH	Tree Gnome Stronghold gate animation and forced walk exceed the default 5 second landing wait.
transports.tsv	Open Odd-looking wall	2709 3495 0	2709 3496 0	Open Odd-looking wall 18505			2887=1||4446=1									PATCH	Elemental Workshop wall object ID is present in the client cache; normalize the key alternatives for Microbot's parser.
transports.tsv	Open Odd-looking wall	2709 3496 0	2709 3495 0	Open Odd-looking wall 18505			2887=1||4446=1									PATCH	Elemental Workshop wall object ID is present in the client cache; normalize the key alternatives for Microbot's parser.
transports.tsv	Open Colony gate	2344 3662 0	2344 3663 0	Open Colony gate 12725												PATCH	Restore the Piscatoris right-hand colony gate ID from the pre-sync Microbot transport data.
transports.tsv	Open Colony gate	2343 3662 0	2343 3663 0	Open Colony gate 12723												PATCH	Restore the Piscatoris left-hand colony gate ID from the pre-sync Microbot transport data.
transports.tsv	Open Colony gate	2344 3663 0	2344 3662 0	Open Colony gate 12725												PATCH	Restore the Piscatoris right-hand colony gate ID from the pre-sync Microbot transport data.
transports.tsv	Open Colony gate	2343 3663 0	2343 3662 0	Open Colony gate 12723												PATCH	Restore the Piscatoris left-hand colony gate ID from the pre-sync Microbot transport data.
